Text,label
this is one of the best apps in the world along with all the other angry birds games. great for passing time by.,1
"this is the ad free version of angry birds. this is the old fashioned version of the angry birds series. it is s huge and partially difficult game. if you have played angry birds before or this is the first time, you'll love it",1
THIS IS THE BESTEST GAME EVER OMG. IM SO EXCITED :TO PLAY OMG!!!!!!! OMG OMG OMG I LOVE ANGRY BIRDS SO MUCH ITS DA BOMB DIGGETY SO COOL OMG OMG OMG OMG OMG,1
this is the first angry birds. so when you get in2 this one it'll leas to you wanting angry birds seasons and angry birds Rio. But they're all fantastic!!!!!!!!,1
"This is the first app that I installed onKindle Fire, Full Color 7"" Multi-touch Display, Wi-Fiwhich I purchased recently from Amazon. Angry Birds (free version) works smoothly on Kindle fire.Love the smooth graphics! It responds perfectly and It is a ple",1
"This was my first time to play Angry Birds and I don'tthink I could have had a better first impression!  Because of this, I will purchase every Angry Birds gameI can get my hands on!  Now I see what all the 'fuss' is about!!!",1
when angry birds space folding out on kindle fire? jrdhdhdh fhd dud Dvd dud db's dhdjsbd fhdbfjs sjdddhdx dud dud d,1
When I first found about Angry Birds I didn't think much of it until I played it on my friends phone and then I was hooked. I got it for my Ipod and killed the battery on it. My husband bought me a Kindle Fire for Valentines day and playing Angry Birds o,1
When I first got Angry Birds; I loved it and I couldn't stop playing it! I played it whenever I could. Hard levels that take a while to beat; sometimes I had to look up a walk-through to pass them. Plenty of levels. Once I completed all the levels; I sto,1
"Who doesn't enjoy a classic game of angry birds, Tv shows do as they use the game. My friend's teach took her opossum away and started playing angry birds on it. LOL",1
who doesn't like angry birds? i love angry birds! I don't know anyone who doesn't!  I love you angry birds! ! ! ! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
WOW angry birds is soooooooo fun expecialy on my kindle fire I love It and if I love it than its the best game in the UNIVERSE!!!!!!!!!!!!!! :-))))))) LOVE G.sonnier,1
"yipee Angry Birds! I don't have a cell phone so I've been coveting this game ever since my niece showed me how to play. Thank you for offering this on the new Kindle Fire HD, loving it. 5 stars.",1
Games it self are good but had to switch to ad free  original angry birds . Didn't like the ads interfering with the game.,0
"Hey it's Angry Birds, what's not to love!  Easy to use on my new Kindle HD and I could spend hours being angry at those dang birds for not stomping those pigs, first shot!",1
"I love angry birds, I have no issue with ad supported games.  I have a real issue with an &#34;ad supported game&#34; that constantly launches full screen ads that last substantially longer than the level you just played.  The in game ads are fine, and w",0
"I've played Angry Birds on my daughters tablet and had fun. When the Free version was introduced, I thought dealing with a few advertisements would not affect the enjoyment of the game. Boy, was I wrong! Within 5 minutes, I removed the app! Personally, I",0
"We all love the beloved angry birds characters but this app gets really old I mean really old, its fun the first couple of times but everyone has shirts of it youtube videos of it,I mean really this has a terrible lasting appeal",0
Angry birds is so boring all you do is knock down the pigs and then the birds are doing flops and stuff it's stupid.,0
cant install on kindle fire files been corupted witch is bs i cant play my game this game needs to die.  i know bs rovio fix it if you can please.,0
I hate this app so much it stinks so I deleted it  all you do is shoot an ugly bird to kill pigs.  REALLY ROVIO???,0
Angry birds is the best! Best part is that you can still play Angry Birds with out having to be hooked up to Internet. Love love this game!!,1
"Buy the ad free. Worth the pennies it costs. Love Angry Birds! Developers are geniuses. Fun, fun game to play alone or with someone else.",1
"Free and fun, what could be better?  I enjoy playing Angry Birds on PS3 so I had to have this app for my Kindle, it's a nice mini version.",1
I have never played Angry Birds. I uploaded this on my Kindle Fire and it is very fun to play on! Even though the levels get really hard but I totally reccomend this and its also free so your getting a good deal here. :),1
I love angry birds; I have all of the AB games on my kindle fire hd. The original is my favorite!,1
"I love angry birds its really addicting, and i love that it has differnt ways to play the game. Love it",1
"Its Angry Birds, very addictive game. Easy to play, very fun, very addictive.Still improving my game, but son already surpassed me a long time ago.",1
I've allways hear about angry birds games but never play it before till now its fun to play. I like it.,1
got this kindle fire for Christmas. trying to download free angry birds and it is not working. started to down load over 2 hours ago. an it is only at 2 percent still. piece of crap:(,0
not good...games bad...not good ffor kids...they r throwing birds! really people...sue them dumb people! sue who made Angry birds. xhhshsjsjsnsn shshs,0
"I'm not a big game player on my phone. I have a rockin PC with a 19&quot; monitor for game play. So, when I say Angry Birds is good, I really mean it. Fun, addicitive and challenging enough to keep the player interested... without making it impossible to",1
I am very addicted to angry birds! This is a great app and work perfect on my kindle fire! Its free and that is a plus too!,1
"The one that started it all, Angry Birds ground breaking, LOL game. No tablet is complete without it. Get it, not because you want it or like it, but because every one and their dog has it.",1
"I downloaded this to my son's Nabi Jr, it's one of his favorite games.  He has all the angry birds free apps downloaded and can play them better than most adults at only 5 years old.",1
Well besides the fact I love angry birds it's fun and cool plus it's many levels for free. It's not disappointing,1
