Text,label
"I can use this game as a Bible study tool in my spare time at home. To try to get the correct answer , you don't have to be a scholar but you will need to know something about the Bible. When I get one wrong, I go back to that particular scripture and re",1
Bible Reference Game by Thy Word is True is an excellent game. I like it very much and highly recommend it! It is great!,1
"Love any program that helps one to learn more about God's word.  This is a good activity to use  in free time with Bible students, as a quiz,  a fun activity with friends or just to see how much you know about the scriptures in the Bible.",1
"I am really enjoying the Bible Reference Game. I really like it, and I like playing it. It was a great find.",1
Not a FULL Study Bible and somewhat confusing to me. Not worth the $9.99 cost. Have to pay more for some additions.,0
Great to be able to access all the book of the Bible with  a touch of your finger. It's so easy!,1
"What can I say, this app is perfect for Bible reading/study when you don't have the written Word in written format.  And, you don't have to be connected via wi-fi to use it.  I use it on the Kindle Fire HD without a single problem.",1
"By far, this is my favorite Bible app in the Amazon Marketplace. This app is formatted perfectly for the Kindle Fire. It works well for serious sermon prep, as well as casual reading.  However, my favorite thing to do is to use the split pane view with a",1
"Love this user-friendly NIV Bible app on my Kindle Fire HD!The search feature is phenomenal - it quickly finds a verse, word or phrase.  For example it found the word ""Lord"" 6684 times in the Bible.  The search results can be refined to the OT, NT, Epist",1
"I attend Holy Mary Mother of God parochial school and just got the devil whipped out of me for playing this game in Bible study. Not only did the headmistress take my phone and hold me down while the headmaster whipped me, but I was told if I was ever ca",1
"Excellent amplified bible. I love this app. Most important it works without wifi. Very easy to read. I was looking for an amplified bible and when I downloaded this one,  I was very satisfied. It is a must have app. I like to compare the king James versi",1
"This is a great version of the Bible for amplified explanations of words, verses, meanings..., etcThis is a must for those who wish to &#34;amplify&#34; their understanding",1
This is a wonderful support to help with a deeper understanding of scripture. I love this bible and read it alongside my other bible.,1
This app is awesome I love the fact of how easy it is to kind the bible book im looking for & I can highlight & take notes on my kindle right inside the app AWESOME!!!,1
When you read the Bible with this version you get a complete understanding of what the original languages really ment.  all the nuances of the languages are included in the text.,1
My favorite of all the versions of the bible. Easy to understand and insightful. Works fantastic on my Kindle Fire. I would recommend this app to anyone wishing to gain a better understanding of the scriptures. It is very easy to maneuver throughout the,1
"I use the Amplified Bible when having my church service and find it easy to use.  It conveniently fits into my pocketbook, however, I still use a writting pad to keep my notes and then can transfer them to the &#34;Notes&#34; tab on the device after serv",1
"This is a wonderful Bible. I love the note and search feature. I had a more expensive version downloaded with some features, but this one has it access to more and easier to navigate. You will love it and find it simple to use.",1
"This bible app is very easy to use and I appreciate how straight forward it is to get to each book , chapter, avd verse.",1
"i have a lot of Bibles on my kfhd, some of them are ebooks and some, like this one, are apps- Tecarta is by far the best, in my opinion.....presently i own three versions of the Bible on this app, and the best feature for me is that i can split the scree",1
"This app is great for all who want to read and or study the Bible. Any translation you might want is here from the King James to The Message and many more. There's also quite a few different commenttaries.As a Bible teacher, I love the ability to take no",1
This Bible has helped with my studies. Easy reading. Whenever the passage we are reading is in old school I just get this book out.,1
I just started using the Amplified Bible on my KindleFire and I am finding it very user friendly.  What a great way to be able to look up verses by address AND search for parts of verses and be able to find the address.  It is a great tool to have.  Than,1
I am in love with the Tecarta bible apps.  They are so easy to use and are done in such a way that you can find your scripture with no difficulty.,1
I have this bible in book form but having it on a kindle is much easier and quicker to access.,1
A really good and well done bible app.  I would recommend it  for anyone.  Go get it.  It is very complete.,1
Review extensively revised 14 Jun:I've been using Bible Apps since I got my Kindle Keyboard three years ago. Got a Kindle Fire G1 for Christmas 2012 and started trying to use Bible apps on it. Most of the old apps were not too functional on the Kindle Fi,1
The Amplified Bible is a wonderful resource.  It lets you see what some of the words might also mean and give a nice alternative of flipping from version to version to get clarity.,1
This App Is Wonderful.. I Am Just Starting Out To Read My Bible More.. And This Apps Me To Understand What Exactly I Am Reading..,1
This is a great app. Very easy to use . I use it more than the other bibleapps.  And I take it every where I travel.,1
The is a great Bible app. You wont need wifi (unlike the &quot;You Version&quot;).You can get to the Bible verses quick also!,1
This Bible is the best the other Bibles don't work you can highlight and keep notes and search up key words and it will give you verses with that wordI highly recommend itYou will not regret anything,1
I have been using this bible app for quite some time. I find it the easiest app to navigate the bible. My only complaint is when I tried a translation or devotional it stays in my content. But that is not so annoying that I would drop my rating. I highly,1
I love this application. It has a lot of extra material with it and I really enjoy the parallel Bible option.,1
"I love this bible it is easy to look up verses, in church when in bible study. I also  us it when I'm studying with my pray pardner on the phone.",1
this Bible is so easy to navigate through.  I love the fact that it has so many helpful apps within it that it makes reading it easy.,1
"I was looking for an offline bible and this is the best one. It is King James version but, you can try the other versions if you have WiFiI definitely recommend it.",1
This bible is easy to use. At bible study and in church. Easy to find what you want. You can highlight and bookmark pages for quicker things when the pastor is jumping all over the place. I highly recommend it.,1
"This King James Bible appl is very good, searchable and can be Use as a study bible.  The  highlights and copy ability is a wonderful tool.  Thank you for making this appl available for free.  God Bless you all",1
My granddaughter downloaded this Bible for me. I can look up verses on my tablet. I can take it to church. I enjoy my take along Bible.,1
I enjoy having the Bible with me on my Kindle.  I find having it with me on my KINDLE that I read it more slso,1
"A great Bible. Easy to navigate and read. All in all, a great Bible which you can use to read God's word.",1
love this product.it goes with me everywhere.I can select and save my favourite bible verses and use them as quick references.It loads quickly and  its very well organized.I bought a bible from another source and I was not able to use it.it sucked.but th,1
This is a very nice app. Allow you to follow with the bible. I like the fact it can be read to me a great feature.,1
LORD JESUS CHRIST THANK YOU for YOUR INEXHAUSTIBLE LOVE.yes this one works great for me.THY WORD IS A LAMP UNTO MY FEET AND A LIGHT UNTO MY PATH.PSALMS 119:105  KJV.,1
This is a very impressive app for personal study and Bible learning enrichment. I downloaded it expecting the KJV alone but in a wifi environment it supplies several translations as well as other resources.,1
They only reason I am giving this app a 5 star is because you don't need the Wi-Fi to read this Bible at all once you download it everything is good to go.  see my church and other churches don't have Wi-Fi in them.  now I can bring my tablet to church n,1
"Easy navigation,simple to use KJV version I love having the bible on my kindle fire hd.it's pretty good app to be free and you can use it offline.all in all a good app I would recommend this to anyone wanting a bible app.",1
"I have tried pretty much every Bible app I can find, and, honestly, I use this more than any other. Most Bible apps store highlights and notes on a server, and require you to be online, which always threw me off at church. My kindle fire doesn't have 3G,",1
"This would be a great bible but its online so when not near or able to sign in somewhere, un~usable",0
I love this Bible app from Tecarta.Very easy to use and grow in Christ with.GOD'S BLESSINGS TO ALL.,1
I love this app!  It is very easy to use and find the passages I want to see.  The church I attend has a bible study and lessons during church and I can easily and quickly find the passages I want and follow along as the passage is read.  I'm thrilled wi,1
"I love this app because I can read my Bible anywhere, especially at church.  I can highlight my favorite scriptures, take notes and book mark scriptures.",1
Unlike others i have tried this app allows you to read your bible without an internet connection!! You can also highlight in different colors! The words of Christ in red are a bonus.,1
"I love this Bible. The features I use are: Computer reading voice, Auto scroll, Bookmarks, History, Cppy text, Folders, White tect on black screen. Recent updates were great (except that the scrolling is harder to start and has only one speed without cha",1
"I prefer the KJV Bible.  I grew up using it.  It's great that you can get a KJV ap, esp. since so many are going to other translations.  Thanks.",1
I just love this app easy reading can highlight without marking on my personal bible which is my most valuable book of my book collection. I do have trouble using the book Mark so I always got to find my spot which is the only down side .I even got my pr,1
"I had looked for an ebook version of the King James bible and did not find one that I liked. This one allows me to quickly find verses, to mark favorite passages, and allows me to make the font big enough to read.When I am well enough to attend church ag",1
"This is a great bible for my kindle. You can do searches, highlight, bookmark and other features.  Sure comes in handy when you're not at home..",1
I love this app.  If I want or need to find something in the Bible this is very handy to have.,1
"I have a king James Bible,  But this is a lot easier to use when trying to..find a memory verse plus no need  to carry high lighter  around  of different color pens And  because I am getting  older it's easy to change the front size. To me this is a bles",1
This Bible is exactly what I was looking for. It is simple enough that my 4 year old could use it without a problem. I would recommend it to anyone looking for a Bible application.,1
"LOVE LOVE LOVE...all the different functions of this Bible. It's audio, provides more than one version of the Bible as well. There is room for notes and more.",1
"I have other Bible apps on my kindle fire, but you have to be on-line to use them.  With this app, the Bible is. in memory and I don't have to be on-line.  I have both the KJV and NKJV versions and can easily switch between them.  Navigation is very easy",1
Nice electronic version of the King James Bible.,1
I enjoy this version of th  Bible and I enjoy the way this app is set up. I love the fact that you can create real detailed notes and have many option to book mark the scriptures as well.!!,1
Love this app as it will let me use many different bibles. Can also bring up two different versions and compare the verses. This makes finding a version that is easy to understand.,1
This is a great app.  The verses and the layout of this bible is the best one I have found so far.  I can take this to church and not worry about having a large bible.  The layout is great and you can bookmark certain scriptures for reading later,1
This is a very convenient Bible to own. You can read a chapter at a time or browse the other books.Quite easy to use,1
"The best Bible app I have found.  So far the easiest way to find book, chapter and verse.  Since it is an app, my Bible goes with me everywhere.  And since my favorite translation is King James, it is the best.  Highly recommended.",1
The KJV Bible app is easy to use. Verses are easily located and the app works offline. It is worth downloading.,1
"I love this bible bacause my note pad is right there I don't have to search for it.index is great, make scriptures easy to find. I do sugess you try it.",1
"I really like and enjoy the way to its this online bible or app works. It is such amazing, accuracy and I loved it. Yes, I am recommend it to my brothers and sister and to all my friends and you my co-friends from amazon. This bible is such important for",1
"I LOVE reading the Bible, and this helped me when i needed to take a load off and just read God's word. . I always recommend the kjv Bible to anyone. It's the only TRUE version of God's Word.",1
This is exactly the bible I want on my kindle.  Easy to use and I can share on facebook at any time. When you find an app like this and its free you will want to share it with your friends.  This is a keeper. Thanks again .,1
King James version is my favorite version of the Bible. I love to read God's Word daily and this app helps me to do just that.,1
Looking for a bible for my Android tablet and I tried the FREE KJV version by Tecarta. Seemed to work well with my Samsung Galaxy 8.9 tablet. Could easily navigate to the books and verses I wanted. I also liked the ability to highlight verses in a number,1
"Hello. I'm a 9 year old, and I'm a Christian. Obviously, at Churches you have different bibles they use. Like NIV and etc. We use KJV in our church. (Ebenezer Church of God) And our church is in Maryland. Well anyhow, I use this bible for when I'm at hom",1
"This app is the bomb! It lets you search books, chapter, and verses. If you're like me, and you sometimes forget your real Bible for Church, than this is a great backup... :)",1
Really like this bible app because I don't need to be online to use it. I can bookmark and highlight verses I want to go back to.,1
"KJV version which is the most beautiful and the most accurate, study the history of how the King James Bible came about, no need for wi fi once it is installed on the device it opens and makes it real nice to take to church to follow along with the preac",1
"So easy to use, even for this baby boomer. Easy to navigate and bookmarks for me so I can pick up where I left off. Makes my bible studies so effortless.",1
This took a while to download - but it is the entire Bible and can be read offline. And it's free!,1
I love this version of the Bible. You dont need the internet to go read and the notes and bookmarking i just love them.,1
I use this app as my Bible in church every time we have a service.  It helps me find where I'm going really fast and I can keep notes and write things to myself on it. It also lets me highlight what the scriptures were for that service.  I really like th,1
I love this app so much.. I don't have internet at home and I have a hard time reading the bible for falling asleep after a long day at work.. with this app I can have the bible read to me.. Thank you so much for having this free it a great part of life.,1
awesome software i would recommend in the future for others like the way it allows the highlighting in the bible for study time,1
"I will only read the King James Version Bible.  Not any revisions like the New, or  others, No supposedly easier to understand versions.  The Kings language, I believe is the closest translation to the Greek",1
I love this app of the King James Bible!!!  It's very well designed and easy to use and I highly recommend downloading it!  Thank you Tecarta!,1
the best to use for in Church Bible study if you us it you will like it very helpful thankd\s,1
"The app was easy to download, and this KJV Bible is very &#34;user friendly.&#34;  When installed on a Kindle, it's as easy to carry to church as a printed Bible, and even a little easier to navigate.",1
This bible is cool just for the fact you don't need to be online to use it plain and simple.,1
I like the King James Bible because I could turn to any Bible verse and read it. The downside to this application is that you have to weed through everything to get to the verse that you want to read.,1
"My last app was not very user friendly. I use my bible app very often and need to find scriptures quickly, this app is perfect for me!",1
I am pleased beyond words with this app. I have been a student of the Bible for many years and have bought many commentaries.  Having them at my finger tips and on my Kindle Fire is awesome. I can't wait for more commentaries to be added.,1
Very easy to go to specific passages and keep up with the discussion. I love being able to highlight in color. Better than my computer bible that has become so cumbersome through all it's updates.,1
Excellent eBible for use in Bible studies.  I use this on Wednesday nights with our church.  I am thrilled to be using this.,1
I love it because the bible is available off line. I have searched for such an app for a while and I am grateful I found this one. It also as an audio feature. Awesome,1
I've had many different Bible apps and each one in their own way was hard to use. This KJV one is VERY useful. my favorite features are the highlighting and notes. you can highlight verses that speak to you and even write down your thoughts on the notes.,1
"This bible app is re a lly great for anyone especially for anyone traveling that doesn't have access to their personal bible, it has great features with it also, one of my favorites is the ability to highlight the verses that really are important veres t",1
"It is so quick to find a verse or a passage. Plus, I can leave my heavy Bible at home.",1
"I was in search of A Bible that I could always have with me and this is it! It's so easy to navigate and find exactly what you need! Not needing wifi to use it, awesome!!! Thank you!!!!",1
"I just got this app and, so far, I love it.  I have always wanted to be able to copy Bible verses and paste them into Word documents that I am editing or writing.  I speak for ladies' groups and sometimes want to work on a presentation, but didn't have a",1
I am a Pastor and use several Android Bible apps for various purposes.  This app is outstanding for rapidly navigating through the Bible when following a sermon.  It also has a fantastic bookmarking and highlighting system for those presenting sermons or,1
"I really like this game about the BIBLE. i PLAY IT A LOT. i LIKE GAMES ABOUT THE BIBLE.  i MIGHT ORDER MORE LATER,",1
"My husband is a minister who hates to be without his Bible if he has time at all to read.  He is 'tech-challenged' but recently consented to a smartphone with the promise I would load a Bible app for him.  I've been looking, but most were a little too te",1
It has the convenience of what I've been looking for. I also love the commentaries. I recommend this Bible app.,1
"This is the second KJV  Bible application that I've downloaded.  THIS one is the better for me because it is downloaded unto my Kindle Fire HD.  I do not have to wait to be in a WiFi spot to use it.  If I were to forget my own Bible at home, I could use",1
Rate it a 5 will all ways  enjoy closer to your life as usual I will truly the KJ V of the bible weWe as one  Will all ways enjoy it.,1
i love reading kjv bible  and  other books i own nwkj to i love it also  and i love the bible,1
"I love this bible version. I downloaded a lot of different ones, but this is by far the best one. And I got it for free!!!! It is very easy to use and you can quickly find what you are looking for.",1
its great to read the Bible in the morning that's what I do to keep in walk with God. Great for anyone who wants to read the bible.,1
"Simplicity at its finest. I have used many Bible apps but this Bible is, by far, the easiest to navigate, in my opinion. Thank you, Tecarta, for making this freely available.",1
"I love this app not just because its a simple bible, but you can read it offline no wifi connection needed!",1
This is a very good bible app and it has so many options. I absolutely love this app and I would recommend this to anyone,1
this is a repeat but this app is my second best friend. my Bible being my first. my kindle goes with me everywhere. these days are so difficult. through joy and pain my Bible is by my side. thank you so much for being available.,1
"I love this Bible!  OMG, this is wonderful.  I play it at night as I go to sleep and it has the full Old and New Testament in King James Version.  You can take notes, email scriptures and find your favorite Bible passages quickly.",1
"I love this Tecarta Bible App. I switch easily between several versions as I read, quickly able to compare the way different translations or paraphrases as I process spiritual truth. I often look the Scripture up in a different translation to compare. Wi",1
"This Bible app is one of many I have, and I'm using it almost exclusively because of the Commentary.  It's intelligent, balanced, and well-written.",1
My favorite Bible App. Have tried many.. Well done.. Just perfect for on the go people. Thank u Tecarta.. This App is great!,1
"This bible rocks so much, i've never seen an error before, its identical to a printed bible. It has always served my biblical needs in any way, its got a few features but thats all it needs,a dn with this latest update it faster and better looking than e",1
Easy to use. Cute highlighter colours. Easy to find texts and lighter than the actual Bible book for church. Download!!,1
"Best bible ever , because you don't need WiFi  connexion to read . Chapters change easily and crisp , no problems .",1
This app does not need an internet connection in order for you to use it so it is ideal for all of the places you may want to read your Bible but have no access to a wi-fi network. Using the app could not be easier; click on the search box and the entire,1
"I love this app. I use it every Sunday because my 3 year old granddaughter wants my Bible, so I use this to follow along with the scripture reading.",1
"Love this Bible. Very good interaction. Can easily find texts. Love the fact that it can read the texts for you. The only drawback is that when the voice is reading and you want to stop andcome back to the same place,  you can't.  The voice will start ba",1
"This app is one of the best Bible apps that I have used on my Kindle. I looked around and used others. This beat the other KJV Bibles. My husband is a minister, and I read the Word quite often. It put everything at my fingertips. The highlighting feature",1
"Very good Bible application. It is free, so why not? Also, you won't need WiFi just to open it. Of course you need WiFi to download it at first. I use this Bible all the time in Church. It also has margin notes so that you can add notes to a scripture an",1
I chose this Bible as it was free and I am familiar with this version. I also want to purchase the NIV version as well as the NASB version.  Any version that will acquaint you with Jesus is a Good Bible.,1
This app is the best I have come across.  I use it at bible study all the time.  Thank you for this simple but effective app.,1
"I found it to be a very simple, easy to use Bible app. It has the night mode which I love (battery saving mode).",1
This Bible is really great you can take notes listen to it and you don't need wifi! KING JAMES VERSION ROCKS!,1
This is a great bible .it has all of the newest features that make it so handy I would recommend this bible,1
I love red letter bibles its the perfect bible for Christians or anyone. It doesn't matter who you are the bible is a great book (well books) to read.,1
Love this Bible app. I use it on my Kindle Fire HD and haven't had any problems. The only thing lacking is not having the Strong's Concordance. Making notes are easy to do and I love that you can underline favorite verses. I use it at Church because I ca,1
So glad I have this on my kindle fire. I really like the KJV bibles. I also have one on my other kindle and bring it to church also!!!,1
Extremely easy to use. Better than any paper Bible. It is exactly what you need for quick search and reference. I love this Bible.,1
I have searched for a  good bible app. I finally  found it! This is by far the best I have found. I recommend this app for ANYone wanting a KJV bible. Mine is being used on  an Android phone and works beautifully.,1
I love the app for all the bibles versions you have available. I've tried several and all were very pleasing. The highlighting and underline capabilities make it easy to remember and locate certain scriptures you want to keep in minding certain chapters.,1
The King James Version is the best Bible to read there is none like it. Read the King James Version you will love it AMEN,1
this app is a good Bible app. it has different types of bibles you can look at too. you can highlight texts and send scriptures that you like to freinds.,1
the app did not work on the phone and I was not happy aout it because I wanted to read the bible,0
I love the fact that you can parallel  with other versions of the bible. the side panel is great and perfect for in app note taking,1
Very easy to navigate! Love it! I would highly recommend this item to anyone who wants to read the Bible.,1
this Bible is very easy to use. very quick to locate with just a couple tabs and your in. KJV App is awesome. enjoy this!,1
A great way to read the bible and if you want it can be set for it to read to you. Just a good book.,1
"I've only had this bible app for a brief time, it's great so farIt did close on me twice when I first installed, but no more problems with itAfter that...I totally love the side by side bible books, so I can compare 2 translations at a timeAnd being able",1
"The Bible on my kindle makes it easier to follow the preacher during his sermon rather than having to thumb thru pages during the sermon.  Get to book, chapter and verse quickly and I like the way the verse you have searched is highlighted at first.",1
I really like this Bible because it is easy to find the scriptures I am looking for. It is easy to make notes an bookmarks the scriptures. I would definitely recommend it!,1
This is a good bible that has very good  text looking speach.I read it with preacher's on TV shows everySunday,1
Just wanted to have it always available even when I don't have the actual Bible with me. So much can be stored on my kindle that is very useful.,1
Wnderful for a free app.  Offers different kinds of study plans and different kinds of bibles to read from. Thanks,1
This is my go to Bible now. It's a modern English that is accurate and easy to read. I love it.,1
This is an excellent version of the Bible in easy to understand modern English language.  Also this app does not require internet access to view the pages which is a plus.,1
This is an easy to use translation of the Bible.  I enjoy the ability to browse to find just the right passage.,1
So far I'm loving this bible!!! Very helpful with my independent studies of my newly found faith. Recommend for new believers who want to know more info behind almost every verse.,1
Love this Bible and use it at church every Sunday. Easy to take notes while pastor is preaching. Love having sermon notes wherever I am.,1
"The My Bible app is great, but when I just want to read the ESV, which is usually my version of choice, I use this one.  I like it because it is simple and easy to read.  I also have Kindle Book versions of the ESV and ESV Study Bible, which are also gre",1
This is one of the easiest to use Bible programs I have found the first one I downloaded had to have web access this one is good anywhere,1
This is the best Bible app that there is on the kindle fire. I hade the you version Bible app but u cant read that unless u are connected to a wi-fi network.,1
We use this version of the Bible at our church.  I love it as much as I love my King James Version I have had since I was saved in the sixth grade.,1
It'smuch easier to find books of the Bible and the refrences needed for church each Sunday.  This is the version most often used in my church.,1
"As many of us do, we have a number of Bibles purchased over the years but left collecting dust because we find them too heavy, to hard to read or understand, or a myriad of other reason.  I found these issues solved by purchasing this Bible and keeping i",1
The app is easy to use.  I like the ESV edition.  The print is easy to read.  Finding Bible books within the Bible is very easy.,1
I downloaded this version because I like to read different versions of the Bible.  It is easy to navigate and I enjoy it.,1
I use it often when I am reading the Bible or looking up a verse.  Had to get use of the language because I wasn't accustomed it.  It is easy to read and understand.  I have been reading the NIV for years and the Complete Jewish Bible.  So the ESV gives,1
"On those days that I really don't want to lug around my very huge Bible, the ESV Bible comes in very handy as I can instead just take my Kindle to church.  The great thing is that I can also read this Bible on my Kindle on days other than just Sunday.  I",1
"This digi-Bible is absolutely the best I've seen. Having studied the ancient Hebrew, Chaldean, and Greek texts I was shocked at ti's accuracy. It even saved me a few times when I needed scriptures on the spot. Extremely pleased and I now have this on all",1
"This is very easy to use and understandable translation of the Bible.  It took me a few times to figure out how to use the notes correctly, but that is my issue and not a design issue.",1
