Text,label
"Between Dropbox, Sugarsync, and Box - Box is the best. I got 50GB of free storage instead of just 5GB because of a free promotion. That's 10x more than Sugarsync and 25x more Dropbox. Box has way more features and is the most secure. Love it!",1
"I tried this cloud storage after I tried dropbox first and hands down. If you can use a place that gives you free 50 gig account and a pretty descent amount of options to do with your music ,movies,or even programs whatever you would like to do with the",1
"I could not get this to work.  ODdly, after several attempts, it was still a mystery.  Dropbox worked much better.",0
Great app to store and use doc's and pictures across all your devices.  I have used Box and Dropbox and they are about the same to me.,1
I can access my Box and Dropbox accounts through my QuickOffice Pro app.  That avenue doesn't work if I want to download onto the local memory.  The Box app allows me full access to Box files and will let me download into the device.  Very handy if you'r,1
"I thought this was &#34;Dropbox&#34; before I realized what it really was.  I since uninstalled it from my Kindle and from my Cloud.  I like &#34;Dropbox&#34; better.  Now if I can just figure out how to cancel my Box account, I'd be really happy.  Anyon",0
How can you go wrong with free storage. I have to admit I've gotten more use from dropbox in the past but seeing how box has recently added sycing with their desktop app I think dropbox has some real competition now.,1
"I use dropbox as well. Never can have enough storage, especially when you have a Kindle Fire.They are running a special promote right now for 30 days.. you get upgraded to 50 GB of storage for lifetime for fee. Don't miss out on this!",1
"I use this program all the time. It saves me from having to go to a scanner. I scan the docs immediately and put them in my dropbox account. I then have full access where ever I may need it.  On a wish list, I wish it had a way of faxing and I wish the p",1
I use this app to take pics of my notes. I make the file names with searchable tags and sync them to dropbox. works better for me than evernote without having to pay rent.,1
"It's easy to use. stores all your comics you put on your kindle, and can have access to dropbox for quick comics you want added. The settings are vast if you really want to tweak it.",1
Works as described. Easy to use interface. App runs completely independent of a PC.  It's actually more functional then dropbox.,1
"I have tried box, dropbox, wuala, asus and sugarsync. We signed up for Sugarsync initially because it gives you more free storage than the others. Plus, it gives you more free storage for each new referral.I have been very pleased with their customer sup",1
