Text,label
Great Graphics works great on my kindle fire hd love all the levels. wish I could get it to connect with facebook,1
"I play this on facebook & wasn't expecting it to be so good on my Kindle Fire HD but it's even better .... the graphics are amazing !!! Definitely worth downloading, thoroughly recommend it.",1
amazing app love it better than facebook in every possible way I prefer this than having facebook already also great on my kindle fire,1
I like this more than Facebook. it is easy to use and just better. this is a really great app,1
"I didn't like it, so I don't use it ..... I am used to Facebook, soooo, enough said, I guess",0
"works very well, nice to have notifications on kn my kindle fire now. still waiting for facebook to release an app here.",1
"Like the facebook app. everyone likely already has this app, and no one is actually going to read this review and decide to download it based on my review..... BUT IF YOU ARE &#34;THAT PERSON&#34; #downloadit",1
"This app is great. You get to share your news with people, without the intrusive privacy invasions that facebook has recently become. A+ app.",1
"I've been playing this version on UNO for weeks now and loved it, EXCEPT.  I cannot find any way within the app, nor online or at facebook to be able to change things in my ""account"", like adding picture, reviewing and adding friends.  NOW, for a couple",1
"They say if you connect to Facebook you can save your progress so you can play on another, different device.  Spent hours trying to figure out how to get my progress from my old Kindle to the new one but gave up and lost everything.  Of course customer s",0
I think this app is nice but when I tried to share my drawing on Facebook like the app says you can for some reason it wouldn't let me and I tried 3 times but besides that it's a good app create for all ages from kids to adults,1
"Though I am pretty sure the program was called Facebook. It might be just me but if you paid for this, you haven&apos;t heard of Facebook.",0
"What more do you say, its facebook.  It works well as it should.  No real problems yet.  I like it.",1
This is amazing. You can make lists and organize them neatly and quickly. I also like the fact that you can connect it with your facebook or tootle account. This is a great app overall. I really recommend it to anyone who is looking for a good notetaking,1
Good Game. But were is update of of turret and new guns. Info on REFINERY to access ALL OF THEM YOU MUST BE LOGGED ON WITH FACEBOOK AND FOR KINDLE FIRE USERS MUST HAVE WIFI,1
Best game for any smartphone or tablet everyone should get this game and its great when you have friends on facebook who play gun bros,1
Cannot believe you can play with facebook friends. Its amazing. And I play this on my kindle. Most entertaining game yet.,1
"This is a good game, very addicting and enjoy to play when bored. It connects through  your facebook account keeping track of your levels, and missions that have been accomplished helping you keep track from your android devices.",1
if you guys need to know how.to get refineries than log into facebook my name is Pie Pies halpful tipped right their,1
InkPad Notepad is simply amazing. It is super easy to store. You can email notes to friends and share notes on Facebook. Your notes are auto saved so you don't have to remember to save it before you go. The way to find your note is just to simply go to t,1
this app works well with the kindle fire and saves me time so I don't have to go on facebook.,1
Ok so I got this on my kindle fire and thought o okay I can download now but I do not have a facebook so I could not download and that was a not what I thought so now I am looking for another video Downloader so if you don't have facebook this is no use,0
"Downloaded it, tried to contact it to Facebook and get friends birthdays. Some kind of error message about some unexpected hash mark popped up and it did nothing...might try erasing and reloading but probably not worth it.",0
"This app sucks! It Plays videos fine but first it forces you to post every little thing you are listening to facebook if you want to be able to create a playlist. Why do these companies Apple, &amp; Tootle &amp; Aneroid Have to have to try to know as muc",0
My Samsung Mesmerize used to have horrible battery life - 6 hours of medium level use. I read a post on the Mesmerize Facebook page where someone with a similar problem suggested switching to Go Launcher Ex. I installed and it worked. I now regularly get,1
"Takes forever to load on my Nexus 7.  Then one I completed the level, it wanted to post to Facebook or online.  I hate games that do that.  Uninstalled.",0
This game is my favorite on facebook so I thought I would get it on the kindle works the same and fun,1
"I found this first on Facebook. Not having an account anymore I'm glad to find it here.  An excellent game to pass time, and challenge friends. The settings for the game here are much better to those on Facebook. There are no power ups, which sometimes f",1
"l've played this game on facebook - but I love the fast pace and the voices on the Kindle Fire, very fun!",1
I first found Farkle on Facebook and thought it was a fun dice game. I was happy to see a free version of it for my new Android tablet.This rendition of Farkle doesn't disappoint at all. From the fun themed opening screen to the smooth animations and fun,1
This is not the same as Facebook but once you get use to it it is as just as much fun.,1
"this game is for people with patients. it is a very fun facebook rpg but you don't have to have a facebook account, it merely prompts you to add it. this is my fav Uken RPG game",1
"Finally a cool superhero/villain game for facebook! And another big plus is that it's a free app. I've spent way too much time waiting for my energy to load on the Sims Social. With an app, I can play anywhere and not waste time. To be honest, I would ne",1
I couldn't even load the game. I don't have a facebook so this is a waste of my time. I was really hoping to play this game but I guess not. if you don't have a facebook do not get this game.,0
"I really like it it is good for all sites :) I would recommend this app to anyone who has facebook, loves to text/email, or is on a social Internet site often.",1
"It could do with a few tweaks but what app is perfect, I love the app and have recommended it to friend's a on Facebook. It helps to keep track better than I could have and has great extras :)",1
"love the features of thks app, does a really good job of keep track of your workout, calorie count and etc and u can even post on Facebook to show off to ur friends",1
I have used the free app for over a year and use it as a back up to my garmin gps on my bike.  Posts my ride automatically on facebook.  I ordered the polar bt heartrate stap should be here next week so I will be able to integrate heart rate data.  Not s,1
Cuts off at bottom and can't scroll to see entire joke. Can't see connect with Facebook button either.. Lame...HTC Evo V 3D,0
"This is so dumb! Why does almost every app want you to login to Facebook? What if we don't have an account, and we're not planning on making one? That's like discrimination! How do you expect us to use it if we don't have a Facebook?!? Good thing it's fr",0
"This is Android excellant version of Farkle. I started playing on Facebook Android fell in love with the game! One thing that needs fixed is when the AI uses all the dice it doesn't roll again and it should. Also we know the name of the game, use that sp",1
I switched from Silk to Maxthon and love it.  pages load fast and the issue I had with the page jumping around while I was typing on Facebook is completely gone. I even installed it on my laptop to take the place of Chrome!,1
"Facebook pages load much faster and actually show the pictures at a decent size.  Many of he sites I go to load significantly faster and the scripts generally work better (example: [...]crawls in silk and the buttons frequently don't work, but loads quic",1
This app is great. I use it quite a bit to check my Facebook and various other things. I have no proof but I don't think that it will work if you don't have wi-fi. I'm not positive though. Great and useful app.,1
This is a great app.  It is very fast and very easy to use.  I specifically downloaded this so that I could use Facebook in desktop view and it does just that unlike the default Kindle browser.,1
Works wonderful.  I was having a hard time reading facebook and other pages on my kindle fire.  This program has solved 90 percent of my problems.  I like the way it links to gmail.,1
"Honestly, I only downloaded this app to be able to install the Facebook game Candy Crush Saga to my Kindle Fire HD.  But I soon found out what a  great app this is. You should try it",1
I love the cafe game on facebook and this reminds me of it.. I haven't had any problems on my Thunderbolt,1
You can share your art work on Facebook and even print out for the fridge. I love this for my son when we are sitting at a restaurant waiting for our food. Great for all ages!,1
"This game is beautiful and flawless as far as gameplay goes. Love it so far, especially the story mode. This game coincides with the Facebook and pc versions.",1
i realy honestly hate it. the game itself blows monkey anus. plus u have to go on facebook. i dont have a facebook. serously i am not  even 7 freaking years old yet,0
I really like this game.  It is easy to play and I only wish I could download it on Facebook and my android cell phone.,1
"This app is bad. When I used it, it said I had 381 friends on facebook. But when I went on my facebook page, it said I had 581 friends. This app is WRONG and NOT UPDATED . Do NOT get this.",0
This app does what it says.  It cleans brings up a list of your cache and you can clear it with one tap.  I was surprised that Facebook kept popping up even though I do not use the app that much.,1
I think its hilarious how people complain about permissions. Theres a good chance that these same people have a Facebook account yet they dont realize how much information they're giving out with it. They also probably know nothing about the coding and d,1
I don't really see the need for this app. Facebook messaging is pretty good all by itself. Pass on this app,0
"This is hands down the best app for chatting on Facebook, I just love it, it also comes with super cute animated kissy faces & such. My mom loved it so much that she also added the app to her computer.",1
"This app does not work for the Kindle Fire HD. I tried the app, and all it does is redirect you to the mobile Facebook page via an internet browser. Please bring the actual Facebook Messenger app to the Amazon Appstore.",0
Same issues others had. Would not &quot;authenticate&quot; my account to log me into my Facebook. Could not use this app at all. Facebook just needs to make a messenger app themselves for Kindle Appetite.,0
Love it! The ability to have private conversations and stay in Facebook at the same Time and review the conversation when needed is fantastic. I loved this from the first time I used it. Also unless you delete the conversation it remains available so you,1
anytime i would try to link my fb account it would just open facebook in the browser so i finally deleted it and got something else.,0
works with both my first gen fire and my fire hd. You don't need to have a facebook account -just skip that step. It works great withm my Sony streaming video box!,1
"I don't use facebook so how am I supposed to use this?  No, I don't need and won't sign up for facebook.",0
I connected this with my Xbox with no problem. I had no problem skipping the Facebook login either. So I don't understand why there are such low ratings. Thanks for a great faotd.,1
This app contains the Facebook Like Exploit.  It forces you to advertise for the developers who lack the skills or talent to market in traditional ways.  They take advantage of their own customers and exploit their Facebook account.,0
"Works incredibly well. No Facebook login needed just press skip. Great picture quality. Does require hardware, smart TV, console or other network connected box.",1
"Didn't work with my TV, as it didn't see it.I didn't log into Facebook and I couldn't see internet videos, I couldn't,I see my TV either. This is a paid app, asking me to like it or link it to my Facebook account is wrong.  You should pay me to advertise",0
"I have read some of the reviews and i don't understand why some people can't see the option to skip the Facebook login. This app works great with my Galaxy Nexus and Vizio Co-Star Google TV,it would be nice if it was compatible with more Google TV device",1
I love being able to farm on my Android. I loved Farmville on Facebook and I wanted a farming game that didn't require a login.,1
"fun game that can really draw u in. kid safe, it is pretty much farmville except with out facebook!!!! I found it a little frusterating at all the items that costs a ton of gems ( which are really hard to get unless u are willing to pay real money for so",1
I play this game every day its a whole lot better than the game on facebook. u don't need to worry about energy or side quests to keep ur farm going. get the dog bowls and resell for big bucks.,1
I like this better then facebook. Can play without buying gems. My farm is doing fine without them. Fun game. Addictive! Kids love it too!,1
fun game.. just like the other &quot;story&quot; games... prefer playing this over the one on facebook..the people that play this help out lots more :),1
"this is similar to farmville from facebook. this is fun, you don't have to play it all the time because most plants take over an hour to grow... similar apps by team lava include bakery story and restaurant story... fun and somewhat addictive...",1
"It's as close to Farmville, without having to be on facebook (which I really love about it the most.)  If you have children, you may want to turn off in app purchases.  It's been a lifesaver for me, because my niece's &amp; nephew's can't purchase withou",1
