Text,label
"This program works excellent on my Kindle Fire, and ""syncs"" nicely with my Google Calendar.  Don't waste your time on the free ones!",1
I needed this to install the supposedly pre-installed Google Store/Google Play that my tablet shipped with.  Works well and has yet to disappoint.,1
I use this on my Kindle to get around Amazon's stupid restrictions. It works really great and has allowed me to access the Google Play Store and actually get some good apps (unlike Amazon's... yikes).,1
I installed this app specifically because it supports Google drive but none of my files populate. Drop box works fine but Google drive Stays blank. Very disappointed.,0
"The Yelp app is great. It works reliably, similar to their website. When I'm hungry, I never use google maps - I use Yelp! It's far superior for finding food.",1
"This is an old version of this app. I checked on Google Play and it has been updated - VERSION 20120405 was done on April 5, 2012. I wrote to the developer and hopefully he will send the updated app to be tested by Amazon - then Amazon will offer us the",1
"I downloaded two other calendar apps for free to try, and just kept coming back to CalenGoo. I don't even use the Google calendar sync, so other apps would have worked, and may have cost less, but this one has all the features, reminders and customize-ab",1
This calendar is amazing! I have it synced with my google calendar on my phone and kindle fire. I keep my to-do (tasks) list there also.  I don't know how many times it has saved my life with reminders! Spend the money...its worth it.,1
"Provides two way connectivity (over wifi) with Google Calendar.  Alarms and reminders and good stuff, oh My!  You need this.",1
"Communicates with all calendars (Google Calendar, Phone Calendar, etc.) Awesome widget options!I wouldn't be nearly as productive without it!",1
"While I don't like that I couldn't sync my google calendar onto my kindle calendar app, I'm not going to bump stars off this app for it. It's absolutely wonderful, does everything it's supposed to, and even tells you the local weather!",1
I've tried many apps to give me the same functionality as the Google calendar website and they were all lacking in some way that I stopped using them.  Finally one that works and stays in sync!,1
"I use Google Calendar online, and this app syncs seamlessly with my online calendar. I have the same app on my phone, so no matter where I am I can see my calendar, add/delete/change events, and it will send me reminders for upcoming events. The app is e",1
Calengoo does a great job in syncing with Google Calendar on the Kindle Fire.  It is wonderful because you can make appointments and you don't need to be online.  It makes it easy for my husband and I to keep track of our schedules.I'm not sure if I'll g,1
Have used this app for about a week.  Working great with both my husband's and my calendars on my kindle fire that syncs to our google calendars.  Very handy when you want to see the calendar on a bigger screen than ipod touch.  Several different views a,1
"Syncs great with Google Calendar.  I have been using the ""i"" version on my ipod, but I like this version even better.  It is easier to maneuver around.  I love having the widget on my home screen.  I just have to open my phone and there is my schedule fo",1
This is the most important app on my phone. I use Google calendar for my personal calendar and my office uses Google apps for our business calendar. This app elegantly and effectively merges all of these calendars into one supercharged calendar on my pho,1
This app works great for my kindle fire. I was able to sync google calendar with it and add appointments via the app. If you set up a pop up reminder it shows in your notifications. It looks great and is easy to read.,1
This was the best calendar app I could find for syncing my Google calendar into my Original Fire. I would rather not have had to pay so much for it but I definitely feel it was worth it!I can make changes in the app and it transfers back to my Google cal,1
Works great on the Kindle Fire. Syncs with my google calendar smoothly.I was using Pocket Informant but could not get it to sync with Google Calendar.A lot of options to customize the look and function to your preference.Can send event reminders to your,1
I just purchased this today and really like it alot!  It's very user friendly and Sync's with your Google Calendar and Contacts very easily.  I use this product on my Kindle Fire HD.  Highly recommend it.,1
"After I got my Fire, I searched and searched for a calendar that would sync with my Google calendar and tasks. This app is perfect. I can see all my calendars! Now I can pull out my calendar when I need to make an appointment.  Great!",1
"Works as advertised. Smooth, easy and syncs with google calendar perfect.Would recommend it to anyone with a Fire that uses Google Calendar.",1
I am very happy with this app.  It syncs easily and quickly with my Google Calendar and works great with the Kindle Fire. I can't think of any way this could be improved,1
This calendar works seamlessly with my Google calendar and syncs easily.  I keep the widget on my home page of my tablet so I can glance on current days' tasks without opening my calendar.  The full size calendar is neat and easy to use.,1
I am an avid google calendar User and this app works perfectly for me.  syncs with google and even looks similar which I love!,1
I am running this on my Kindle Fire HD and it works great. It was very easy to set up. It synched very smoothly with Google calendar. It's been solid as a rock and is very reliable.I does everything it's advertised to and is easy to configure.Good job gu,1
"I was looking for a calendar app that synchronizes well to Google calendar and therefore to my Mac calendar.  CalenGoo worked, whereas the native Android app did not sync properly for me.  Be aware that after you install CalenGoo, it will not sync calend",1
Does a good job syncing with Google Calendar.  This was the most important feature for me.  Excellent features and behavior similar to Google Calendar.,1
And it integrates with Google Calendar. The synchronizing runs in the background so you aren't even aware it is working. As you set up appointments in Calengoo it updates your Google Calendar. Changes to Google Calendar automatically update to your Calen,1
"I purchased this app to sync around 10 Google calendars for this very busy house, and it does it all very well.",1
This program synchronizes perfectly with Google calendar. I have the Kindle Fire. it is an excellent program!! The graphics are very good too.,1
"I rely pretty heavily on Google Calendar to keep track of my appointments.  When I got my new Kindle Fire HD, I decided to try to move as much of my productivity tasks to it as possible.  I hated the idea of having to enter calendar events into the Kindl",1
"It's easy to use and it syncs my Google calendars (both work and personal) with my Kindle, so I can look at and update the calendars at any time and I don't have to copy anything to a hard copy personal agenda.  Since I don't have a smart phone, this is",1
This was actually the first paid app I ever bought of the Google Play Store about 3 years ago and it has been a &quot;must install&quot; app on every phone I have had since then. I use it constantly.  I love the &quot;tape&quot; feature.  It has never gl,1
Does not work as well as Google Maps,0
"It does what it's supposed to do, easier to work with than Google maps. Great app for the android platform.",1
MapQuest simply sucks in comparison to Google maps and Google Earth...MQ just can't match Google's investment in keeping it current and accurate.,0
We bought an i-pad mini today because google maps always crashed on me and we were planning a road trip across the country.  I could have just as easily downloaded this app for free and saved me a lot of money.  But then my son would not have had all tha,1
Mapquest is better than google maps I live this app try it for your self.  You  won't be disappointed in.,1
Mapquest is owned by AOL and like all AOL products it lacks quality and proper customer support. Use Google Maps instead.,0
"found maps in one second. still needs a update, because google maps still is better. but i guess this map app is still fine",1
I downloaded MapQuest to my smart phone and began to use about 6 months ago.  The product is good but I still prefer Google maps.,1
I deleted this app since it gives the wrong location when I put in our address.Instead I go to google maps using the silk browser.,0
"Not as good as google maps, runs much slower and graphics less refined even on a tablet, not sure why anyone would use this unless they didn't have a choice (I'm looking at you kindle fire)",0
"Not as many features as Google maps but it still get the job done. What makes this great though is that it seems to be more accurate then Google Maps and it is only 2MB so it runs fast, rock solid and hasn't locked or crashed on me yet. Wonderful app!",1
"Works perfectly with Google calendar, it is elegant and no frills. It has different views, daily, weekly, monthly, perfect for at a glance info.",1
If you are a Google calendar user with multiple calendars this app is the easiest way to organize them on the go. I love it!,1
this calendar integrates very well with the Google calendar.  I wish the developer would come out with a honeycomb version.,1
quite simply the best calendar app. I tried them all... this one syncs with outlook and google calendar very well. Info is displayed as well as can be expected on a phone. Love it...use it all the time,1
I like this program much better than default Google calendar. It is much easier to enter new tasks and it is way easier to review existing tasks. Month view is especially nice and does the best job of making up for the lack of mouse hover that I have see,1
"I downloaded many calendar apps before this one, and deleted them all.  Nothing would properly sync to my google calendar.  This works perfectly, has awesome widget options, and reminds me of iCal on my mac (which I totally miss).  Definitely get this!",1
I have been looking for a better calendar and this is it.  love it! HTC sensation and it is wonderful.  links Google calendar.....can not live without it!,1
"I use this calendar daily. I use it more than daily. It integrates perfectly with my Android device, updates perfectly from Google Calendar on the web, integrates others' scheduling opportunities into mine and makes my life livable.If it ain't written on",1
Does everything I need it to do. Much better than the stock calendar. Very flexible. Works well with numerous Google calendars simultaneously. HTC ThunderBolt,1
I use this to consolidate my personal and work calendars and the calendars of my wife and kids. Does a great job. Better than stock Google calendar. It's the first app I install on new devices.,1
"I am and have been a big user of my google calendar.  I love how this is an extension of my PC google calendar, its simple and easy to use, the views are customizable and alerts work great.  never FC'd on ?y HTC G2.",1
love this game but no way I'm re buying it. this is version 1.3 and Google play is version 2.21 and this doesn't work so well on more modern devices,0
"I only use the calendar so far, but it's still great. It links up with your google calendars, which is why I got it since my kindle calendar stop syncing with my google calendars.",1
"Got this program as the free ap of the day, but really didn't use it.  I wish the Kindle allowed users to access Google play",0
"I have an old tablet running an ancient version of the Android OS so my device isn't supported on Google Play. I use SugarSync on my desktop and my mobile phone. So when I saw this app in the Amazon app store, I had to give it try. IT WORKS FLAWLESSLY!!!",1
if you set your reminders in the already included Google calendar it does the same thing. the only thing this includes is the homescreen widgets. If you want holidays to show up in your calendar login to your gmail go to calendar and you can add whatever,0
you will have to have this app to read books other than those purchased  at the google play store on nexus 7 tablet.there are others that can be used but this is my favorite.clean delivery with no problems,1
"This app used to be the best, and probably still is in the Google Play Store. Too bad the developer has apparently forgotten about the Amazon Marketplace. Does not work on ICS or Jelly Bean devices, it crashes every time you type in the search box.",0
"Crahes on Nexus 10 when entering search...please fix. App does not work, not acceptable. I think app in google play has been fixed a long time ago",0
"The keyboard is great, but I am running jellybean and Amazon still has not let this app get updated. The app is 2 to 3 updates behind Google Play Store's version. Update, after a long wait and coincidentally right after i posted my review, the app is fin",1
so this is a great all but for some stupid reason I get updates from Google Play AND Amazon's store. At least Google updates it automatically but the next day Amazon whines that it wants to update as well.  It is the ONLY app I have that does this and th,0
"Fun and interesting to look at towns and scenery around the world.  It would be nice if it could find my google maps, but not that vital. You can save and categorize lots of favorites.",1
"This app is really nice! Nice and colorful tabs. Love that this app syncs with my Google calendar. Has alarms. Can set dates by week, days, months. This will be my main calendar app. I can set agenda's, folder's, private things, make lists. I was really",1
"on kindle fire it doesn't sync with google calendar, only task manager. tries to install on my Droid 2 to see if functionality was different than on Kindle Fire. on my Froissart it just crashes as soon as installation is complete. this app is worthless",0
Does not match screenshots but is a decent app.Nothing different than using Google calendar and has interesting permission request s,0
