Text,label
"Having tried many differant &#34;free&#34; internet radio pages, I have since whittled the list down to 2 that I use consistantly: Slacker and Pandora. They both perform very well, Slacker focusing more detail in creating custom stations while Pandora's",1
This is on my kindle fire I use it when Pandora was only allowing certain amounts of free listening a month. Great for exploring your music taste finding new bands you may like and the ads are less annoying than the ones on Pandora,1
I love this as much as pandora radio. Possible even more so. I never heard of it before til my husband found it.,1
the. best app ever so much better than pandora it is so awsome get it so much better than the other radio apps,1
"this app is decent, i'd reccomend over Pandora, doesn't buffer as much as Pandora. of course its sometimes a lil laggy when only on a 3g coverage but no where near as bad as Pandora or other competitors",1
"So much better than Pandora. There are ads occasionally, but not as much as the other stations, and Slacker has a larger variety of pre-made stations to pick from.",1
This is my favorite internet radio. This has way better selection of music than Pandora and iHeartradio combined! I love the variety of songs they play and customization. You should definitely download it.,1
I bought a radio latly and thaught that I needed music because Pandora is annoying sometimes I looked and asked my friends and slacker was the top Fav. out of all I reccomend this to music lover!,1
"Been using their website for several years, chose it over Pandora because at the time I liked the station options better, not just by genre/artist but by time period.  I haven't revisited Pandora since to see if they've updated because I've been satisfie",1
i have no idea why people keep in saying this app sucks!!! this is one of the best music apps ever its not like Pandora where they choose ur artist on this u get to choose and the best is when u go on long trips that's okay because this doesn't need wifi,1
Best music app ever. Don't even hardly use Pandora. Love love love slacked! Less commercials more music & more variety & skips,1
I use to listen to pandora until I was turned on to slacker. I work at gym and the radio plays the same 24 hr rock blocks every day. Slacker mixes it up and songs that I or members do not like I can skip past.,1
puts pandora to shame!! It has so much too it that I can't stop singing it's praises!! I love this program and pay for the monthly with a smile.,1
since you have to pay to listen on Pandora on mobiles now... :( I downloaded this app to listen to music! I'm soooooooo happy! you should download it ;) its awesome!,1
sounds good Wat is better Pandora or slackerdj dj djej sndnnd fjdjn dh dj dj dh dh th dud,1
"I came across Slacker Radio app by mistake, and I'm glad I did.  I currently have the Pandora, Tune In and I-Heart apps loaded on my Kindle.  I-Heart Radio being my favorite, until I came across Slacker.  I listen to 80's music, both pop and rock and I",1
its like free music with videos! I love it when I don't have wick and cant use Pandora it works great on my kindle fire,1
"i tend to exit out of apps all the time using the home key and i am unaware tue app is still running in tue background. apps such as pandora radio, google maps, or even angry birds. its nice to have an app that will reassure your phone snt working harder",1
"So much better than Pandora! You can watch ANYTHING!!!!!!!!!!!!!!!! You can pick a genre, from gospel 2 metal. u can do anything!!!!!!",1
"What can I say but thank you very much, since I found this app on my Kindle Fire HD that's pretty much where it stays Just  like Pandora for music but with never ending playing music videos that learn what you like. SWEET.",1
it keeps me entertained for a long time pandora and this together it is amazing get it!! its just what i was looking for works great oon kindle fire,1
"This app does what it says. I use it with Pandora when running.haven't had it that long, but I love it so far! Easier than other apps I have tried.",1
stupid app all it does is play your music i think it should be like pandora and come with music already on it........oh well........,0
"super useful, would pay to upgrade if I could connect it to Pandora for music to wake up to since I don't have any on my fire :) but great app use it everyday, and helps me stay on track with regular stuff :)",1
"I liked the free one, but this one certianly has a few features that just fill the program out if you will.  Very nice, I may start using Pandora less :-)",1
"Excellent radio app.  I either use this or Pandora for all of my music needs.  Each one has its own pluses and minuses, so it really rounds out your options.",1
Yes it works great on the kindle Fire want to test itrun Pandora and set your main volume about half way then goto the Volume app and play with the controls remember there are twooptions speakers or headphones.You do need to be careful because it could g,1
