Text,label
This is a great solitaire game. I love having it on my Kindle Fire. So easy & so entertaining and so easy to play..,1
This type of solitaire is what I like best and I found it at Amazon.I can take it with me anywhere. I have it on my Kindle Fire HD.I would recommend it to anyone who likes solitaire.,1
I enjoy playing solitaire and have for many years. It is convenient to play on the computer. My sight is not as good as it used to be so being able to see the cards on the computer is a plus.,1
"This app contains an assortment of solitaire card games. Application has performed flawlessly and graphics are good on Galaxy S3. Numerous small touches, such as ability to recall move, restart game, etc. really add to the experience. Highly recommended.",1
"Great solitaire app! I am not a huge solitaire player myself, partially because every game I've downloaded on my phone has either been horrible or had annoying ads that took up too much space. I am impressed with the number of different solitaire games a",1
"This is easily my favorite solitaire app. The game is fun, challenging and winnable, great combination. Highly recommended time waster.",1
"Many thanks to the developers and Amazon for an excellent app.  Works flawlessly, and no permissions.  If you want solitaire for your mobile, look no further.  There are many variations to pass the time; I am looking forward to trying them.",1
"so little time, so little game to play compared to all the other solitaire options out there keep looking  good luck",0
"I still like Ace Solitaire 2 better, but this one is nothing to sneeze at. :) For a game with so many different versions, it's amazing that the app is under 2mb. I'm sure they could have added some bells and whistles, but didn't. Kudos!Btw, an 'exit' but",1
"When most games are filled with In App Purchases or lousy controls or ads all over the place, Yukon Gold Solitaire has none of that.Clean graphics,  simple controls and a nice (but small) variety of games, make it a great solitaire package.  Kudos to Bra",1
"This is my favorite solitaire app. I've had it for a long time, and the developer continues to make improvements in the game, so it is much better now than when it started. But it was really very good even at the beginning.The only improvement I could th",1
"There are several type of games to choose from. I had no idea there were so many ways to play solitaire. You can also change the front/back of the cards, change the color/pattern of the background, as well as other gameplay features. I would like to see",1
good game with lots of options. May not have EVERY solitaire version out there - but how many do people need? ( see other reviews). Get this while it is free. worth a buck or two if you like solitaire.,1
"I have looked at just about all the solitaire games, not to mince any words, BUT this one is the best. Enough about it, get it you`'ll enjoy it. I know I do...",1
"This is the best Solitaire game for android I've found so far.  Who said Solitaire is dead?  There's nothing like getting caught in line at the bank or the DMV with a game like this.  Get it, you wont be disappointed.",1
it is what it is point blank. it says its solitaire and that my friend is what u will be playing when you open this app. its a different form of it tho. at least for me. I must say that it is fun and I just got it less than a hour ago and have played it,1
if you like solitaire games you will like this app.  lots of variations and help.  I got it free but it's worth the 1.99 price.  I would recommend.,1
I've tried other Solitaire apps but this one is THE BEST with great features and selectable options.  You can customize to suite your taste and Graphics are crystal clear.  Well designed app has all bases covered nicely.  The only thing I would change is,1
We all grew up on solitaire. But over time many of us became bored with it. This gives you variations on the game and can be both fun and challenging.,1
"So many card games in one, I found this to be very entertaining and has helped me fill in the gaps of several HOURS of boredom. If you like Solitaire games then I highly recommend this one, even at two dollars. You will get hours of enjoyment out of this",1
"I use it a lot, mostly for spider solitaire, and it works very nicely, even has a help button! I would recommend it.",1
I love Yukon and this app does it well. I now have no need for the other solitaire apps. Good job!,1
This is a solidly designed and easy to play solitaire app.  Game play is smooth with 24 solitaire games and variations in the game play. It can also be installed on an SD card.  It features a nice user interface that lets you rotate your device and even,1
"We've tried many solitaire apps and between the ads, permissions and just plain ol' poor programming, none have measured up.  Except this one.  Love the layout, being able to customize the deck and all the games.  Yukon can sure be frustrating and challe",1
Yukon Gold Solitaire will be replacing the other solitaire game I have been using. This one has less variations but it has all the ones I actually play. It looks better than the other one too. It has some very nice card backs and faces as well as playing,1
This is exactly the solitaire game I was looking for. Glad I purchased it. Looks realistic and there are tons of options! Great solitaire!,1
"Love this solitaire set!  Easy to use and perfect for you if you like solitaire card games.  When they perform an upgrade, they provide a detailed description of the changes and enhancements.  Great game!",1
"Although this is free today, it has a nice interface, lots of options, and solitaire varieties. If you are looking for something flashy with bells and whistles going off, then find a casino.",1
"It's solitaire so you might be asking yourself ""how the ding song heck a ma doodle bell can you add IAPs to this?""  Well it would be nice if there was a donation feature. I'd like to give the developer a bit more as my way of saying thanks for making suc",0
"I've got to say, I thought to myself 'how bad can someone mess up a solitaire game anyway?'  Then I downloaded this and found out. I guess I got spoiled playing 250+Solitaire Collection, which if I remember correctly, was free. It also has graphics that",0
"Excellent app with smooth operation and graphics. Numerous versions of solitaire, all are very well done. On top of all of this there are non invasive per ossions and no in app purchases. I recommend highly.",1
So many games...so little time!  I didn't even know there were so many different types of solitaire.This game uses very little battery power.  But it's so addicting!  You can play for hours and not waste your battery.If you like solitaire... this is the,1
"My wife enjoys this Solitaire collection on her kindle, it is very complete and has a lot of different versions on it.I use Amazon for most of my purchases and update my reviews if anything changes with the products. I do this so other Amazon users can g",1
"If you love Solitaire, then, you'll not get bored playing this. Plus, with the touchscreen, it is easy to play. The only thing I would like to see different is the leader board (it only shows the high score not the date).",1
Nicely done no crazy permissions lovely graphics keep up the great work......solitaire by definition is a single player game unless you are playing double solitaire so its a good time killer while sitting in the doctors office,1
"If you love solitaire, I think you'll love this program. It's simple, flexible, oodles of games, and most importantly it **requires no special permissions.*  I've used this for years. It's my go to game on phone and tablet. I wish he made others apps as",1
"A very well written solitaire game with lots of options, pleasant graphics, no permissions that are intrusive and most importantly... no stupid in app purchases! What more could you want? This is just a great great application.",1
"I've tried others, but keep coming back to this one.  It's tablet friendly and a good basic game of solitaire.",1
"Really solid solitaire game. In the few weeks since I first downloaded the game the dev has already updated it with some nice improvements, like automatically letting you know when there are no more available moved. The only thing I'd add is an animation",1
"This is one of the best Solitaire apps I have found. Easy to navigate, some decent options. I had a Sol game once though that let me go through the 1 card Vegas three times. I wish they would offer that option, whether it's 'real Vegas' or not.",1
if you love solitaire then this is the app for you!!!!!beautiful background changes &amp; card changes.the graphics are first class. it has quickly become oneof my favorite games to play.,1
This is definitely my favorite solitaire suite.  When I had to reset my tablet  (lost everything!) this was one of the first APPS I downloaded.  As far as I can tell it works perfectly.  Every time there is an update they provide a detailed description o,1
Different versions of solitaire. A game for any card player. A very satisfying play. Hope you enjoy as much as I have!,1
Who doesn't love solitaire? Easy to load to your Kindle; you'll be playing right away. It was free. What's not to like?,1
Can't figure the game out.for nothing. I am a solitaire player and love to play different ones but forget this one.,0
I like to play solitaire because its a game to chanellenge your mine.Yes I would recommend this game. And the reason why is because its a nice relaxing game to play,1
"This free app was a disaster--I was under the impression that there was more than one version of solitaire, and I couldn't find any, and there is no solution to a bad game.  I came up against a dead end and the game just sat there and did nothing, no war",0
