Text,label
"It is SO slow, i just uninstall it, and forgot it. TuneIn Radio is much better. This one, is, &#34;slacking&#34;.",0
delete tune in radio and then install it again im not sure if your music will still be there but the update will work,1
I use this app more than any other. Runs without crashing. TuneIn is always updating app. Well worth the inexpensive price. Could use some tone controls or an equalizer.,1
"I listen to several radio stations outside of my market, and I use TuneIn radio. I love sports talk radio in Dallas and use this app to keep up on the news/hot sports opinions on my favorite Metroplex teams. Record up to an hour of audio to listen to lat",1
make my own song recordings and listen to many out of market stations! fantastic app. love TuneInPro! can make my own Mp3s.,1
I've been a TuneIn fan for a while now.. but now with Pro can't complain. The recording option and the 10 sec repeat is awesome ..works for me!!,1
"I've had tune in radio on my devices for years now,I love being able to listen to radio stations in other states&amp; I've found a few stations that I'd rather listen to them listen to local, it definitely gives me another option besides the mp3 player.",1
"I loved tune in radio so much I decided to spend a dollar to get pro. I have not been let down yet. there are some great radio stations out there, KOLA top of my list of favorites.To those that gave poor app rating because of radio broadcasters wanting r",1
"TuneIn is a must have app for Android. It is a well thought out, polished application that takes existing resources and organizes and presents them beautifully.",1
"I moved away from where I grew up and my sports teams aren't broadcast on television here very often, if at all. TuneIn allows me to catch all the action easily and efficiently on my phone. It's as simple as pressing the sports option in the menu then se",1
"TuneIn has done a great job at offering radio stations from all over the world. I love listening to radio from Taiwan, and then from Los Angeles when I'm traveling. My wife listens to radio from Indonesia! It's amazing what our phones can do these days,",1
I used the free version of this app for over a year. Then I heard that you could set TuneIn as your alarm on the paid version so I downloaded it. I've had it for a month and just now figured out how to use the alarm feature. I would have given it 3 stars,1
"this was a great app until stations started blocking their streams. now, TuneIn Radio Pro just takes up space on my phone.  totally useless.",0
"Put a band name in search & TuneIn will show you any stations that are playing that band in real time!!You can pause & rewind the music up to 30 minutes,has a 10 second rewind,you can record music & schedule recordings,works in standby saving battery.2 t",1
"TuneIn Radio Pro is awesome! I live in an area that has poor radio reception, but with TuneIn I can listen to local stations, or whatever genre I want. The controls are very easy to navigate and the sort and search functions are fantastic. I use this app",1
"Throw out that old FM/AM radio you have because TuneIn has so much more to offer. There are so many stations from which to choose even from around the world, where ever you are. I think apps are connecting us to the world like never before, and this help",1
Walkman was the best music players with built-in radio in the late 80' .  TuneIn Radio Pro allows complete control what you want to listen to @ your thumb or finger.,1
"There is a plethora of good, old-school country stations on TuneIn.  It is disappointing to see that your favorite radio station has the same playlist as every other station in the same genre due to the network.  Kind of like Clear Channel Radio.",1
"UPDATE: I guess we now know why TuneIn Radio Pro (paid version) is tracking your location: NOTIFICATION SPAM ADVERTISING!  Do you really want to pay for ads?Original review:Sure, it works as advertised, but why does this need to receive unrequested data",0
"After downloading the free version of TuneIn Radio I was very impressed, and decided to buy the Pro version. The only difference that I can see is the ability to record streams for later viewing, but for the price point I don't mind in the slightest as t",1
"This is one app I use constantly. If I'm out of town or can't get a good signal in the office, TuneIn is there. I also love all the search features especially since I'm a talk radio addict.",1
"TuneIn Radio Pro is amazing! It has songs that I can get at my fingertips. I can even save and record for later. I am so pleased with TuneIn Radio Pro ... if you like anything from Ambient to Trance, from Dance to Oldies, from Children's - Christmas musi",1
