Text,label
I would delete twitter if I knew how to,0
I had no problem with this app....it works as expected...you get to view and use your twitter easier. Well designed app if you want to use your twitter on the Kindle Fire.,1
"yes, social media is an addiction for many and I am pretty guilty of my love for all things twitter, facebook etc...this is the regular twitter app and I'm very glad I have it on my kindle!",1
"In the beginning, I had my doubts on Twitter. But really, it's amazing! For those of you that cant gt updates, too bad so sad. Because when I got it, the twitter symbol was still the old one. It updated by itself, one day! So get it!",1
I love using Twitter on my Kindle Fire! It is a great app. and it is really easy to use!,1
I was having problems posting to Twitter from some of my other apps until I got the official Twitter App. I use it on my Kindle Fire HD. Now when I want to post something to Twitter from another App or game it gives me a pop up window with this Twitter a,1
"I haven't 'twittered' all that long. But thought this app would help me keep up with celebrities and such. This app is very confusing. If you don't know what all the buttons mean, you don't get much of a description until after you press on them and it t",0
The twitter ap on my phone isn't great but this one is more like the one on my computer so it's much easier to use.,1
I am a twitter junkie I love it on my kindle since it is bigger then my android phone I just wish i could customize tones,1
"Has a few quirks, but overall it is a very good app for keeping up with your Twitter account on the go. I use it quite often.",1
Twitter is my favorite social media app.  I love Twitter and I have met a ton of cool and inspiring folk on there. It is a good way to keep up with events too.,1
There isn't much to say about Twitter that no one else understands.  I just love having Twitter on my Kindle.  It is very convenient.,1
I love Twitter.  The app is the same as my smart phone.  Love being able to continue my social media accounts regardless of the device I am using.,1
I like this app. It is very easy to navigate and I find my self using twitter more now then I ever have before.,1
Of course Twitter is cool. I don't go to it as much as facebook but I still like it... .;),1
"I love twitter,honestly it is freakin addicting 2 be on. Its a cool thing 2 be on. I love it.",1
I love this app on the kindle fire it works well I love that u can see everything on the screen.Love twitter,1
"I have Twitter on my laptop so I thought I would put it on my Kindle Fire.  I don't like it.  It doesn't save my password and I don't see how to post.  I guess it is just not user friendly for me.  I can usually figure these apps out, but this one just i",0
It does what it's supposed to do. It's twitter and I can get in and do what I need to do with no issues &#34;yet&#34; I probably just jinxed myself now though...lol.,1
"I haven't been on Twitter a whole lot since I got my kindle fire but so far it's just like the Twitter app I had on my phone and the app makes it easy to navigate around Twitter and its just a really easy, no problems app:)",1
I like the Twitter app.  It's pretty user friendly and the feed is easy to read.  Just what you need to get a quick update and scroll through tweets.,1
at first when I got my twitter I couldn't tweet or even follow people but now I have a large social area with all of my friends.,1
"It's Twitter, but on your phone or kindle or whatever. If you were expecting literally anything else you'll be disappointed, but otherwise you'll probably get what you wanted.",1
"Its twitter for my kindle! ! It has all the features you would find on a mobile phone or other device. Keep track of your favorite movie stars, singers, Tv shows, family ect. I don't know why its not rated higher as I believe it definitely deserves 5 sta",1
"I am definitely not a fan of the official Twitter app. All of the 3rd party apps are much better, even though Twitter is trying to kill them off.",0
Lets me me use my twitter account on my kindle :) Works great! So yea you have to have so many words to submit a review!,1
awesome cool mini word @share your opinion the reason I'm doing this just to rate twitter awesome fool nine strough,1
The Twitter for Kindle app is very functional and enjoyable to use. I recommend it if you use Twitter and have a Kindle Fire.,1
Decided to join the 21st century crowd (although I still find another social media site to be a bit intrusive and creepy) and I like using Twitter a lot.  It is easy to keep up with breaking news etc.,1
"Finally, an official twitter app for the Kindle Fire! It's definitely an upgrade from the ridiculous mobile website shortcut. Works great. The only thing I don't like is it doesn't automatically refresh to the top of your timeline when you open the app.",1
I read what others have posted but never post anything of my own!  I prefer checking Twitter on my desktop computer anyway.,1
"Just the classic twitter like online or on an iPhone. Works perfectly good, no problems at all. I recommend it.",1
what is not to love about twitter.Allows humans to publish their every move because it is so completely necessary.... lol not... but it is fun!,1
"I use it all the time to check my Twitter now. Works just like it would on desktop, if not slightly better. :)",1
"We all know what Twitter is, this is just a handier, more practical way for me at least to use it. I love having it on my Kindle Fire!",1
Wanted to link to Twitter on my Kindle - so I downloaded the app. Now I can link to Twitter on my Kindle.,1
I think that this is best Twitter app ever! I can easily check on all who I follow and posting is just as easy.,1
"Of course this a great app! Everyone twitters! Sign up today and get it on your phone, kindle and ipad!",1
This one of the best twitter app!!  there is nothing wrong with the app!!!  Really fast too!!  I wish I could give the twitter app a 10 star ratting!,1
"It's Twitter for the Kindle! Works well and does what it's supposed to. Don't go on Twitter very often but when I do, it's on this app.",1
"I have a twitter account for One Direction. if you love them, follow me @1Dhelper. we're an update account. :)",1
The twitter app is great when I'm on the go and I can keep up with my tweets and followers,1
I love twitter and having it close to me.  it's so easy to use and it's a lot better than Facebook.,1
OMG! I love this app twitter is literally amazing. it rarely loads.... GET THIS APP TRY IT OUT.! best part is its..FREE,1
This is by far one of the best Twitter apps for Android! Great ui and great features. I would recommend this app to anyone! I wish more devs would incorporate the pull-to-refresh feature.,1
"Twitter is great to find all sorts of random facts, news and thoughts. I put Twitter on my KF as a way to keep up on news posts. It works wonderfully! I like using it on the Fire versus my cellphone.",1
well dis is a cool app...cnt live w/out it!!! I mean tis twitter!!!!!! I cn even upload pics direct from my kindle fire!,1
If you're into Twitter this is a good app and for me I don't have data on my phone so this is a good option for me.,1
I love having the Twitter app available. It makes it so much easier to twitter when watching TV. It's easy to access and I use it frequently. I use Twitter much more than Facebook.,1
I LOVE THIS APPLICATION. IT HAS SO MANY FEATURES THAT EVEN THE OFFICIAL TWITTER DOESNT HAVE. AWEDOME APP!! Best Twitter App There Is!,1
