Text,label
Very useful and quick and easy tool to have when you are playing Words with Friends. I use it often.,1
Sure saves me time playing words with friends.  A quick and easy way to find new words.  I've had poor results copying a puzzle and pasting it on the board help though I've tried the volume down button and on/off button simultaneously.  The instructions,1
This is a great cheat app for Words With Friends. it's simple and it tells you how to use it. A must buy app.,1
"this app is great, especially when i get stuck with all vowels and one letter, it helps me find words i can use for words with friends without having to pass a turn! I recommend it to everyone, it doesn't get stuck and it is a great help!!",1
"I love this app, It is an amazing helper for &quot;Words With Friends&quot;! I wish I had this for &quot;Scrabble&quot;:) Thanks Dev!",1
I enjoy playing games and think this is a great help to Words with Friends.  I use it every day.,1
"Sorry, but I have not learned to use this game.  I thought it would lend me a hand in Words With Friends, but I haven't been able to figure it out and can't use it.",0
"I truly live this app because when one is playing Words with Friends it sometimes can be difficult to come up with word or when you have a word in mind it isn't playable. this app gives you useful words that can be play with the game, and it has many fea",1
What help this app is when playing Words with Friends. I love playing but sometimes get stuck so this helps,1
A great app to help with playing Words With Friends.  It gives you many options to play and check your selections.,1
"When words with friends is up and working it is a big help. Right now my app is not working on my kindle which is useful,driving me crazy",1
"I have tried this several times, especially yesterday with Words with Friends, I have been looking for something like this for some time.",1
First let me say that I normally do not play games like this...I play games like words with friends and such...having said that...since the first day I downloaded this app on my kindle fire I have been addicted....the ways you can design are almost unlim,1
