Text,label
i only tried 2 tags. one on tv and another from a music clip in YouTube. it worked both times. only if i could have had this app years ago when i was recording instrumental music on cassette tapes. i has a few sings i need to know who they are.,1
Works every time. Always gets the song right. Then I can watch it on youtube or share it on Facebook or buy the mp3 from Amazon. Pretty sick.,1
"This app has found 98% of the songs that I&apos;ve searched for, including the ones playing in a crowded room. The youtube link also works well. Evo 4G.",1
"I have had Shazam Encore and SoundHound Infinity for the past month or so and have tried them side by side using radio, Youtube, music streams, megavideos and Shazam has yet to identify a song for me.  However, SoundHound Infinity has worked every time,",0
The first thing I tried was youtube and started a video. As the video was playing I added it to my bookmarks. The video was still playing. When I exited the bookmark screen control returned to the Bing home page. The video was still playing but there was,0
download full vids. off youtube and can be seen full screen must get this app for kindle fire or any device,1
Its great and i didnt get any virus or whatever its fun to get free movies and music from youtube. i suggest this.,1
this app has helped me do my schoolwork and for my own entertainment and joy. I am extremely pleased with this youtube downloading application.,1
Very happy with this App. Downloaded 1hr 36 min. BW Movie in about 2 minutes. Color Movies might take 4-5 minutes. YouTube Videos in just seconds. Play them back on MXPlayer or even play back on Google Movies and TV App. Both are awesome where you can ch,1
"doesn'T play youtube playlists, takes forever to start and won't play playlists and search engine sucks !!!! if I could rate properly = minus 5 stars.Basically not a single youtube app actually works, and the few that do allow me to log in to my account",0
It allows me to download my favorite youtube videos and when I turn off my internet or can't get a signal I can still  watch my downloaded videos.,1
"Whenever I like a new song or want one of my favorite videos from youtube on my Kindle Fire, I can just easily download it straight from this app. It only takes about a few seconds and its so EASY. You must be crazy not to have this app :)",1
this app is youtube right? well it only gives you 40 videos that you wouldn't even want to watch. if you like wasting your time then go ahead and buy this useless app,0
"FREEdi YouTube Downloader is great.I used it to just listen to music at school,but it works everywhere.Its downloading is quick and the music works great.Get this app!!!",1
this app is good at first but then when you try just to watch normal youtube it redirects you to the app and tries to force you to download the video on their app. also it stores the videos not on the app but in your pictures. another thing it also frequ,0
this works perfectly on the kindle fire and makes it so easy to download youtube videos in either video or mp3 music only format,1
